,,Type,Normalised Value,flag
Tb3NbO7,544,Néel,2.5,False
Os,545,Curie,86.75,False
BaDy2O4,546,Néel,7.5,False
ErVO4,547,Néel,1.0,False
NiO,548,Néel,508.55,False
Mg6MnO8,549,Néel,5.0,False
SrTiO3,550,Curie,487.04347826086956,False
BiMO3,551,Curie,105.0,False
AgNbO3,552,Curie,340.0,False
Y2BaCuO5,553,Néel,13.0,False
TbFeO3,554,Néel,520.0,False
La2MnRuO6,555,Curie,234.0,False
Dy2O3,556,Curie,385.5,False
TlMnO3,557,Néel,92.0,False
Sr2CrMoO6,558,Curie,476.42857142857144,False
Sr2NaNb5O15*,559,Curie,553.0,False
Cd2Mn3O8,560,Néel,10.0,False
Ce2O2FeSe2,561,Néel,171.0,False
PbO,562,Curie,600.25,False
BaCe2O4,563,Néel,157.0,False
YTiO3,564,Curie,29.714285714285715,False
Fe2SiO4,565,Néel,64.5,False
LnNiPnO,566,Néel,9.0,False
NaFeP2O7,567,Néel,29.0,False
Sr2YReO6,568,Néel,6.0,False
PrOs4Sb12,569,Curie,1.0,False
MgV2O4,570,Néel,13.0,False
A3M2M′2Pn2O5,571,Curie,36.5,False
NaOH,572,Néel,494.5,False
Nd2BaPdO5,573,Néel,2.0,False
HgBa2Ca4Cu5Oy,574,Curie,95.0,False
Sr2ZrMnO6,575,Néel,53.0,False
LiCoO2,576,Néel,30.0,False
Pb2FeV3O11,577,Néel,2.0,False
Ba2DyRuO6,578,Néel,47.0,False
PEcO14,579,Curie,366.0,False
CsBiNb2O7,580,Curie,1306.0,False
Dy2Ti2O7,581,Curie,1.0,False
CaCu2Mn5O12,582,Curie,3.0,False
ZnMnO3,583,Curie,300.0,False
CoTeMoO6,584,Néel,24.0,False
FeMoO,585,Néel,12.0,False
DyFeMnO5,586,Curie,178.0,False
R2Ru2O7,587,Curie,80.0,False
HoCrO,588,Néel,142.0,False
ZnCrFeO4,589,Néel,16.0,False
\\text{MnO,590,Curie,431.0,False
NiFe2O4,591,Curie,766.1463414634146,False
Gd2O3,592,Curie,292.0,False
Bi3NbTiO9,593,Curie,1203.0,False
PbFe12O19,594,Néel,725.0,False
Bi4Ti3O12,595,Curie,890.6666666666666,False
SmVO3,596,Curie,130.0,False
Sr2Bi4Ti5O18,597,Curie,489.42857142857144,False
Sb2O3,598,Curie,299.0,False
Er2O3,599,Néel,3.0,False
Sc6ReO12,600,Curie,9.5,False
La2FeMnO6,601,Curie,309.1666666666667,False
CoRh2O4,602,Néel,25.0,False
CuFeO2,603,Néel,20.333333333333332,False
FePbBiO4,604,Néel,35.0,False
Co2SiO4,605,Néel,49.0,False
