name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags
ErMgSn,3845,Néel,8.0,False,5,"{'Er': 1.0, 'Mg': 1.0, 'Sn': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CeScSi,3841,Curie,244.0,False,6,"{'Ce': 1.0, 'Sc': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cr0,3839,Curie,623.0,False,2,{'Cr': 0.0},True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
U2Pd2In,3838,Néel,37.0,False,1,"{'U': 2.0, 'Pd': 2.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ni2FeGa,3836,Curie,335.0,False,3,"{'Ni': 2.0, 'Fe': 1.0, 'Ga': 1.0}",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tb6Mo4Al43,3835,Néel,4.5,False,6,"{'Tb': 6.0, 'Mo': 4.0, 'Al': 43.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Nd6Fe10Al4,3834,Néel,115.0,False,2,"{'Nd': 6.0, 'Fe': 10.0, 'Al': 4.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Ni3Si,3833,Curie,216.5,False,2,"{'Ni': 3.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TiB2,3832,Néel,22.0,False,2,"{'Ti': 1.0, 'B': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LiFeGe2O6,3831,Néel,20.0,False,1,"{'Li': 1.0, 'Fe': 1.0, 'Ge': 2.0, 'O': 6.0}",True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ca3CoMnO6,3830,Néel,13.0,False,1,"{'Ca': 3.0, 'Co': 1.0, 'Mn': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sb,3829,Curie,272.5416666666667,False,24,{'Sb': 1.0},True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gd2Sc3Si5,3828,Néel,48.0,False,3,"{'Gd': 2.0, 'Sc': 3.0, 'Si': 5.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Ho42Co40Al20,3826,Curie,24.0,False,1,"{'Ho': 42.0, 'Co': 40.0, 'Al': 20.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Fe80Cr8B12,3825,Curie,219.0,False,3,"{'Fe': 80.0, 'Cr': 8.0, 'B': 12.0}",True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LaRu2P2,3824,Curie,4.857142857142857,False,7,"{'La': 1.0, 'Ru': 2.0, 'P': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CeCu9Sn4,3823,Néel,14.0,False,3,"{'Ce': 1.0, 'Cu': 9.0, 'Sn': 4.0}",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
